Compound,Element,Anion,MW (g/mol),Temp (°C),Mass %,Molarity (M),log S,g/100mL H2O,Source
Ba(IO3)2,Ba,IO3,487.13,100,0.182,0.0037361689897973845,-2.427573488524197,0.1823318439559999,CRC
Ba(NO2)2,Ba,NO2,229.34,0,31.1,1.3560652306618994,0.13228058085489547,45.13788098693759,CRC
Ba(NO2)2,Ba,NO2,229.34,10,36.6,1.5958838405860294,0.20300127722246858,57.72870662460568,CRC
Ba(NO2)2,Ba,NO2,229.34,20,41.8,1.8226214354233887,0.2606964736030931,71.8213058419244,CRC
Ba(NO2)2,Ba,NO2,229.34,25,44.3,1.9316298944798116,0.2859239180511275,79.53321364452424,CRC
Ba(NO2)2,Ba,NO2,229.34,30,46.8,2.0406383535362345,0.30976604490218196,87.96992481203007,CRC
Ba(NO2)2,Ba,NO2,229.34,40,51.6,2.249934594924566,0.3521698934552693,106.61157024793388,CRC
Ba(NO2)2,Ba,NO2,229.34,50,56.2,2.450510159588384,0.389256507397119,128.31050228310502,CRC
Ba(NO2)2,Ba,NO2,229.34,60,60.5,2.6380047091654313,0.42127556648052683,153.16455696202533,CRC
Ba(NO2)2,Ba,NO2,229.34,70,64.6,2.8167785820179647,0.4497527098231421,182.48587570621464,CRC
Ba(NO2)2,Ba,NO2,229.34,80,68.5,2.986831778145984,0.4752107633204835,217.46031746031747,CRC
Ba(NO2)2,Ba,NO2,229.34,90,72.1,3.143803959187233,0.49745545654748696,258.4229390681003,CRC
Ba(NO2)2,Ba,NO2,229.34,100,75.6,3.2964158018662246,0.5180419873292644,309.8360655737704,CRC
Ba(NO3)2,Ba,NO3,261.34,0,4.7,0.1798423509604347,-0.7451080288286128,4.931794333683106,CRC
Ba(NO3)2,Ba,NO3,261.34,10,6.3,0.24106527894696567,-0.6178653373107486,6.7235859124866595,CRC
Ba(NO3)2,Ba,NO3,261.34,20,8.2,0.3137675059309712,-0.5033920343806135,8.932461873638344,CRC
Ba(NO3)2,Ba,NO3,261.34,25,9.3,0.35585826892171124,-0.4487229382103951,10.253583241455349,CRC
Ba(NO3)2,Ba,NO3,261.34,30,10.2,0.3902961659141349,-0.4086057150024126,11.358574610244988,CRC
Ba(NO3)2,Ba,NO3,261.34,40,12.4,0.47447769189561495,-0.32378420160209515,14.155251141552512,CRC
Ba(NO3)2,Ba,NO3,261.34,50,14.7,0.5624856508762532,-0.24988855201615412,17.23329425556858,CRC
Ba(NO3)2,Ba,NO3,261.34,60,17.0,0.6504936098568914,-0.18675696538605632,20.481927710843372,CRC
Ba(NO3)2,Ba,NO3,261.34,70,19.3,0.7385015688375297,-0.13164857775655647,23.915737298636927,CRC
Ba(NO3)2,Ba,NO3,261.34,80,21.5,0.8226830948190098,-0.08476742684872489,27.388535031847134,CRC
Ba(NO3)2,Ba,NO3,261.34,90,23.5,0.8992117548021735,-0.046138024492593945,30.718954248366014,CRC
Ba(NO3)2,Ba,NO3,261.34,100,25.5,0.9757404147853372,-0.010665706330375037,34.22818791946309,CRC
Ba(OH)2,Ba,OH,171.34,0,1.67,0.09746702462939184,-1.0111422914172445,1.6983626563612326,CRC
Ba(OH)2,Ba,OH,171.34,20,4.68,0.2731411229135053,-0.5636129094907039,4.9097775912715065,CRC
Ba(OH)2,Ba,OH,171.34,30,8.4,0.4902532975370608,-0.30957947650294615,9.170305676855897,CRC
Ba(OH)2,Ba,OH,171.34,50,19.0,1.10890626823859,0.044894838388001145,23.45679012345679,CRC
Ba(OH)2,Ba,OH,171.34,70,33.0,1.9259950974670246,0.2846551773130596,49.25373134328358,CRC
Ba(OH)2,Ba,OH,171.34,90,52.0,3.0349013657056143,0.48214458106997127,108.33333333333333,CRC
Ba(OH)2,Ba,OH,171.34,100,74.0,4.3188980973502975,0.6353729571661484,284.61538461538464,CRC
BaS,Ba,S,169.39,0,2.79,0.1647086604876321,-0.7832835647458238,2.8700750951548195,CRC
BaS,Ba,S,169.39,10,4.78,0.2821890312297066,-0.5494598714073025,5.019953791220332,CRC
BaS,Ba,S,169.39,20,6.97,0.41147647440817053,-0.385654989921412,7.492206815005912,CRC
BaS,Ba,S,169.39,25,8.21,0.48468032351378487,-0.3145446108999806,8.944329447652251,CRC
BaS,Ba,S,169.39,30,9.58,0.5655587697030522,-0.247522258940877,10.595001105950011,CRC
BaS,Ba,S,169.39,40,12.67,0.7479780388452684,-0.12611115313598006,14.508187335394481,CRC
BaS,Ba,S,169.39,50,16.18,0.9551921601039024,-0.019909250743167885,19.303268909568125,CRC
BaS,Ba,S,169.39,60,20.05,1.1836590117480372,0.07322660893677971,25.078173858661664,CRC
BaS,Ba,S,169.39,70,24.19,1.4280654111812978,0.15474810034245828,31.908719166336894,CRC
BaS,Ba,S,169.39,80,28.55,1.6854595902945866,0.2267183445624454,39.95801259622113,CRC
BaS,Ba,S,169.39,90,33.04,1.9505283664915285,0.2901522706289232,49.34289127837514,CRC
BaS,Ba,S,169.39,100,37.61,2.2203199716630264,0.3464155654029777,60.28209648982209,CRC
